Area_sqft,Bedrooms,Age_of_Home,Price
3674,2,42,513329.0
1360,4,51,215973.0
1794,1,45,236174.0
1630,5,13,313668.0
1595,3,63,199515.0
3592,4,60,557915.0
2138,3,97,307794.0
2669,3,57,441726.0
966,5,48,178499.0
1738,4,78,214719.0
830,3,28,143014.0
1982,1,25,338645.0
2635,2,26,434913.0
3944,2,66,563971.0
3671,5,66,557439.0
3419,4,34,579409.0
630,4,59,171579.0
2185,2,60,291468.0
3880,1,98,425292.0
1269,2,69,116765.0
2891,2,77,383125.0
2015,4,89,270780.0
3985,3,2,696167.0
3353,1,32,466802.0
2933,4,41,465517.0
1715,2,12,263426.0
1455,3,28,268020.0
2824,1,8,408185.0
1684,5,31,308355.0
959,1,21,92946.0
3885,1,85,484891.0
521,2,57,99633.0
2800,2,56,446075.0
1247,5,97,190868.0
3404,5,9,613036.0
974,5,24,198422.0
1582,4,61,250071.0
3058,4,62,469271.0
2547,2,75,332572.0
3247,2,2,548847.0
1475,5,82,194547.0
2306,4,96,387561.0
689,3,46,156894.0
3505,4,54,516591.0
3234,2,25,498327.0
3505,4,12,573385.0
1062,2,6,211185.0
2399,5,33,417574.0
1767,5,21,283399.0
3379,5,83,479622.0
2028,3,22,377595.0
3702,3,47,552334.0
1146,2,13,189460.0
2568,1,93,313675.0
3388,3,86,493199.0
2714,2,51,383227.0
1797,4,82,186170.0
2935,5,38,470558.0
1100,5,40,152681.0
2863,5,35,445463.0
2561,2,5,420463.0
741,5,22,186137.0
2541,3,9,468612.0
3324,4,98,460017.0
3917,5,84,560406.0
3112,2,95,428888.0
3445,4,59,578484.0
1863,5,29,372147.0
2639,1,96,298632.0
1890,5,69,291459.0
3503,3,4,544903.0
1978,4,78,259397.0
3999,3,56,579199.0
3056,1,42,388272.0
1275,1,51,140002.0
534,3,88,50000.0
2753,4,76,439982.0
3652,1,5,513229.0
2455,1,100,273422.0
2085,5,1,370720.0
3959,2,16,555970.0
3573,1,87,436722.0
1521,4,11,295516.0
3961,4,43,660717.0
3113,5,53,495273.0
1629,4,77,215795.0
2000,5,6,371741.0
1202,1,89,77975.0
